,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_tot_gas_heat,num_mhh_age,num_hh_ann_incm
2430,2016_HS3838000004,2016_HH12380054,3,2,1,1,5,1,5,85.8,2,1,1,6,2,1,3,2,5,6749.9910495,0.0,67,12000000
2431,2016_HS3838000005,2016_HH12380055,3,2,1,2,5,1,3,108.9,3,1,1,4,2,3,3,6,3,15786.258399,0.0,67,42000000
2432,2016_HS3838000006,2016_HH12380056,3,2,1,2,5,1,2,33.0,1,1,1,3,2,1,3,1,5,6985.6391398,0.0,67,12000000
2433,2016_HS3838000007,2016_HH12380057,3,2,1,1,5,4,5,85.8,3,1,1,6,2,3,3,4,5,9338.4628308,0.0,67,54000000
2434,2016_HS3838000008,2016_HH12380058,3,2,1,2,5,1,2,39.6,2,1,1,9,2,3,3,2,5,6707.0698241,0.0,67,12000000
2435,2016_HS3838000009,2016_HH12380059,3,2,1,2,5,3,5,85.8,3,1,1,6,2,1,3,2,5,6288.7675064,0.0,67,12000000
2436,2016_HS3838000010,2016_HH12380060,3,2,1,1,5,3,4,85.8,3,1,1,8,2,1,3,3,3,6759.3721772,0.0,67,18000000
2437,2016_HS3838000011,2016_HH12380061,3,2,1,1,5,1,5,82.5,2,1,1,6,2,3,3,2,5,10218.893635,0.0,67,18000000
2438,2016_HS3901000001,2016_HH12390001,3,2,1,1,5,2,2,108.9,3,1,1,12,2,3,3,2,3,14858.69,0.0,35,25000000
2439,2016_HS3901000002,2016_HH14390001,3,2,3,1,5,4,4,99.0,3,1,1,6,2,1,3,5,1,13626.2,0.0,35,54000000
2440,2016_HS3901000003,2016_HH12390002,3,2,1,1,6,4,1,33.0,2,1,1,5,5,1,3,2,1,15912.99,0.0,35,18000000
2441,2016_HS3901000004,2016_HH15390001,3,2,3,2,5,1,5,118.8,3,1,2,20,1,3,5,3,4,12330.578246,9833.1382455,35,66000000
2442,2016_HS3901000005,2016_HH13390001,3,2,2,2,4,1,4,79.19999999999999,3,1,1,16,2,3,3,4,1,11480.88,0.0,45,25000000
2443,2016_HS3901000006,2016_HH15390002,3,2,3,10,5,1,5,132.0,4,1,2,20,1,3,4,4,1,8274.69,5767.79,45,42000000
2444,2016_HS3901000007,2016_HH15390003,3,2,3,3,5,1,5,171.6,4,1,2,16,1,3,4,3,3,7094.41,4265.87,35,42000000
2445,2016_HS3901000008,2016_HH13390002,3,2,1,1,5,3,5,112.2,4,1,1,10,2,1,3,2,5,8533.86,0.0,67,12000000
2446,2016_HS3901000009,2016_HH13390003,3,2,1,2,5,3,5,85.8,3,1,1,8,2,3,3,5,3,26396.86,0.0,45,96000000
2447,2016_HS3901000010,2016_HH15390004,3,2,2,2,6,1,6,112.2,3,1,2,10,1,3,4,2,1,8662.7048232,6081.8448232,35,42000000
2448,2016_HS3901000011,2016_HH13390004,3,2,3,5,2,1,5,105.6,3,1,2,12,1,3,4,4,1,5056.3,2398.9,45,54000000
2449,2016_HS3901000012,2016_HH13390005,3,2,1,1,6,3,6,66.0,2,1,1,7,2,3,3,5,3,13476.2,0.0,45,25000000
2450,2016_HS3901000013,2016_HH13390006,3,2,1,1,6,1,4,132.0,4,1,2,7,1,3,3,4,1,13119.5,0.0,45,42000000
2451,2016_HS3901000014,2016_HH15390005,3,2,1,1,6,1,3,99.0,3,1,1,8,2,3,3,5,1,19721.6,0.0,45,54000000
2452,2016_HS3901000015,2016_HH13390007,3,2,3,4,5,1,6,69.3,2,1,1,8,1,2,4,4,3,12288.5,9699.9,35,78000000
2453,2016_HS3901000016,2016_HH13390008,3,2,3,5,3,2,5,112.2,3,1,2,10,1,1,4,3,3,10647.138373,8024.1383728,45,66000000
