,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_mhh_age,num_hh_ann_incm
1051,3,1,3,3,4,4,4,138.6,4,1,2,8,1,3,4,4,1,5637.6562028,45,54000000
1052,1,2,1,1,5,2,3,39.6,1,1,0,6,1,3,3,3,3,6215.42,55,25000000
1053,1,1,3,6,2,3,5,102.3,3,1,2,10,1,3,4,3,1,11121.29,35,42000000
1054,3,2,3,7,6,1,6,115.5,3,1,2,6,1,3,4,2,2,10917.14,67,12000000
1055,3,2,2,1,5,2,1,42.9,2,1,1,7,2,1,3,1,3,8656.2,67,12000000
1056,2,2,2,3,4,4,4,59.4,2,1,1,4,1,3,4,3,1,10239.80395,45,3
1057,3,1,3,1,4,1,3,105.6,3,1,1,12,1,1,4,4,1,16462.8,45,54000000
1058,1,1,3,15,5,2,5,69.3,2,1,1,18,1,3,4,3,1,14031.14,45,66000000
1059,2,2,3,7,4,1,5,89.1,3,1,2,14,1,3,4,1,2,3886.8729893,67,12000000
1060,1,2,3,10,2,3,6,69.3,2,1,1,5,3,1,4,3,2,5954.0367035,55,12000000
1061,3,2,3,5,2,3,5,95.7,2,1,1,8,1,3,4,3,3,14912.562751,55,54000000
1062,1,1,3,25,2,1,5,49.5,2,1,1,7,1,3,4,4,1,10325.714221,55,78000000
1063,3,2,3,14,2,2,4,52.8,1,1,1,4,1,1,4,3,2,9194.9875176,45,3
1064,3,2,1,1,6,1,2,33.0,1,1,1,8,1,1,3,1,1,3667.15,35,12000000
1065,1,2,3,8,4,1,5,79.19999999999999,3,1,1,8,1,3,4,3,1,17366.85,45,66000000
1066,1,1,3,1,3,1,3,59.4,2,1,1,8,1,1,4,3,1,7627.5,35,25000000
1067,2,1,3,15,2,2,4,118.8,4,1,2,11,1,3,4,3,1,18857.281516,55,54000000
1068,1,1,3,2,3,2,6,79.19999999999999,3,1,2,12,3,1,4,2,5,5570.9,55,66000000
1069,2,2,1,1,6,2,1,105.6,3,1,1,6,5,3,3,2,3,8924.1,67,18000000
1070,2,2,1,1,6,4,2,59.4,3,1,1,10,1,1,3,2,5,6449.0890312,67,18000000
1071,1,2,1,1,6,3,1,59.4,3,1,1,3,5,1,3,2,2,28602.2,55,18000000
1072,1,1,2,3,6,1,6,112.2,3,1,2,12,1,3,4,4,2,12457.71908,67,66000000
1073,3,2,1,2,5,1,3,56.1,2,1,1,8,1,3,4,2,3,17127.76,67,18000000
1074,3,1,3,7,4,1,5,115.5,3,1,1,12,1,3,4,4,3,25315.21,45,42000000
1075,3,1,2,2,4,1,5,33.0,1,0,1,4,1,3,4,1,1,4365.5257188,45,18000000
1076,1,1,3,9,4,4,6,108.9,3,1,2,8,1,3,4,3,2,17535.66,35,42000000
1077,2,2,1,1,6,1,4,85.8,3,1,1,7,4,3,3,5,5,14484.353096,55,54000000
1078,3,2,2,4,5,4,4,72.6,3,1,1,10,1,3,4,2,5,16960.44,67,25000000
1079,1,1,3,15,2,2,5,82.5,3,1,1,10,1,3,4,2,1,2467.6414379,35,78000000
1080,1,2,3,15,4,1,5,79.19999999999999,3,1,1,8,1,3,4,4,3,13943.48,55,54000000
1081,2,2,2,3,4,4,2,59.4,2,1,1,5,1,3,4,5,1,17509.34154,45,25000000
1082,1,1,2,2,4,4,4,36.3,1,1,1,5,1,3,4,4,1,12719.622477,55,18000000
1083,1,1,3,4,4,3,5,69.3,3,1,1,6,3,3,4,2,1,13916.140982,35,54000000
1084,1,2,1,2,5,3,4,59.4,3,1,1,14,1,3,5,2,1,21808.513382,55,3
1085,1,1,2,2,5,1,2,49.5,1,1,1,3,2,3,3,4,1,10180.06,45,25000000
1086,1,1,3,1,5,2,4,105.6,3,1,2,12,1,3,4,3,1,12138.95,45,42000000
1087,2,2,3,2,2,3,3,62.7,2,1,1,5,1,3,4,4,1,12368.010324,45,42000000
1088,1,2,2,2,3,1,5,59.4,2,1,1,4,1,3,4,3,1,10925.96,35,18000000
1089,3,1,3,8,4,1,4,138.6,4,1,2,12,1,3,4,4,1,5710.0995108,45,6
1090,3,2,2,1,5,1,5,82.5,3,1,1,8,1,3,4,1,4,7222.6240117,67,12000000
1091,1,1,3,2,3,1,5,105.6,3,1,2,15,1,3,4,3,5,11437.885643,67,9
1092,3,2,3,16,2,1,4,105.6,3,1,2,7,1,1,4,2,1,17226.625885,55,18000000
1093,2,2,3,1,5,2,4,72.6,3,1,1,8,1,3,4,2,5,9810.9417244,67,2
1094,2,2,2,2,3,3,4,82.5,3,1,1,12,2,1,3,4,1,10738.94,35,1
1095,3,1,1,1,6,2,6,89.1,3,1,1,12,1,3,4,4,1,10985.822741,45,5
1096,3,1,3,3,3,2,2,108.9,3,1,1,5,1,3,4,3,3,7386.25,55,54000000
1097,3,1,2,2,3,4,4,49.5,2,1,1,8,1,3,4,4,1,7068.37,45,25000000
1098,1,2,3,19,4,1,6,105.6,3,1,2,15,3,3,5,4,3,11754.49496,55,4
1099,3,1,3,14,4,1,5,79.19999999999999,2,1,1,6,1,3,4,4,1,11166.7,45,42000000
1100,2,1,1,3,4,1,6,132.0,3,1,2,14,1,3,4,3,3,11427.463582,35,42000000
1101,3,1,1,2,4,1,3,102.3,3,1,2,8,1,3,4,2,1,9010.8873914,55,66000000
1102,3,2,3,3,4,4,4,105.6,3,1,2,9,1,3,4,4,3,16194.482951,55,54000000
1103,2,2,1,1,6,4,2,59.4,3,1,1,10,2,1,3,2,5,9173.58,67,18000000
1104,3,1,3,8,4,4,4,138.6,4,1,2,12,1,3,4,4,1,8123.610873,45,66000000
1105,3,2,3,3,2,3,3,79.2,3,1,1,8,2,3,3,2,4,10744.326678,67,1
1106,1,1,1,5,5,3,4,79.19999999999999,3,1,1,10,1,3,4,4,3,15460.202766,45,78000000
1107,1,1,3,1,3,3,3,66.0,2,1,1,8,3,3,5,4,1,6526.8956211,35,6
