,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_tot_gas_heat,num_mhh_age,num_hh_ann_incm
842,HS2403000006,HH15240007,3,1,3,1,4,1,3,105.6,3,1,1,12,1,3,4,3,1,16837.69,13757.17,45,78000000
843,HS2403000007,HH15240008,3,1,3,1,4,1,3,105.6,3,1,1,12,1,1,4,4,1,16462.8,13600.72,45,54000000
845,HS2403000009,HH15240010,3,1,3,4,4,1,3,42.9,3,1,1,12,1,3,4,3,1,11715.14,9887.64,45,42000000
846,HS2403000010,HH12240020,3,1,3,8,4,3,5,85.8,3,1,2,8,1,3,4,4,3,17419.997513,15161.637513,67,25000000
847,HS2403000011,HH12240021,3,1,3,9,4,3,5,85.8,3,1,2,6,1,1,4,4,3,13687.312312,10420.172312,67,25000000
848,HS2403000012,HH15240011,3,1,3,3,4,1,4,82.5,3,1,1,11,1,3,4,3,3,21616.778468,19162.338468,55,90000000
849,HS2403000013,HH12240022,3,1,3,9,4,4,4,105.6,3,1,2,7,1,3,4,4,1,13372.561293,10930.161293,55,42000000
850,HS2403000014,HH16240004,3,1,2,1,4,1,4,59.4,2,1,1,4,2,3,3,2,1,17686.1,0.0,55,42000000
851,HS2403000015,HH13240004,3,1,1,1,6,1,3,105.6,3,1,1,8,2,3,3,2,2,13274.0,0.0,67,42000000
852,HS2403000016,HH13240005,3,1,1,1,6,2,2,99.0,3,1,1,12,2,1,3,2,1,10779.65,0.0,55,25000000
854,HS2403000018,HH11240005,3,1,1,1,5,3,4,42.9,2,1,1,12,2,3,3,4,1,13480.24,0.0,45,25000000
855,HS2403000019,HH12240023,3,1,1,2,4,2,5,62.699999999999996,2,1,1,3,1,3,4,1,5,14727.933836,11631.933836,67,12000000
856,HS2403000020,HH11240006,3,1,1,1,5,4,2,85.8,3,1,1,8,5,3,3,2,1,18763.95,0.0,45,25000000
857,HS2403000021,HH11240007,3,1,1,1,5,3,6,102.3,3,1,1,5,2,3,3,4,5,7808.61,0.0,55,25000000
858,HS2403000022,HH11240008,3,1,1,2,5,3,5,79.19999999999999,3,1,1,8,2,1,3,4,1,17439.6,0.0,45,42000000
859,HS2403000023,HH11240009,3,1,2,1,4,4,1,42.9,2,1,1,7,2,3,3,3,5,8904.49,0.0,55,42000000
860,HS2403000024,HH11240010,3,1,1,1,5,3,1,132.0,4,1,2,16,5,3,3,4,1,17327.0,0.0,45,25000000
861,HS2403000025,HH16240005,3,1,3,11,6,1,5,85.8,3,1,2,7,1,3,4,4,1,15021.72,12077.94,55,66000000
862,HS2403000026,HH15240012,3,1,2,1,4,2,4,89.1,3,1,1,6,1,3,4,2,5,5082.71,1804.39,67,12000000
