,id_hh,id_hs,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_hh_ann_incm,num_heat_satis,num_heat_cost_rel,num_mhh_age,num_tot_energy_heat,num_tot_gas_heat,num_tot_gas_vol,lv_cg,lv_meter,lv_indv,lv_measure
2225,HH12370020,HS3735000002,2,2,1,1,6,1,1,59.4,2,1,1,7,2,3,3,2,5,3,3,3,67,6693.46,0.0,0.0,0,0.0,1,0.0
2226,HH12370021,HS3735000003,2,2,1,1,6,2,1,29.7,1,1,1,2,2,3,3,2,1,2,3,3,67,8854.9,0.0,0.0,0,0.0,1,0.0
2227,HH12370022,HS3735000004,2,2,1,1,6,1,4,85.8,4,1,1,8,2,1,3,2,3,2,2,4,67,8555.86,0.0,0.0,0,0.0,1,0.0
2228,HH12370023,HS3735000005,2,2,1,1,6,1,1,75.9,4,1,1,10,2,3,3,2,3,2,3,3,45,9089.86,0.0,0.0,0,0.0,1,0.0
2229,HH11370061,HS3735000006,2,2,1,1,6,3,2,62.7,1,1,1,4,2,1,3,2,3,1,3,3,67,7403.74,0.0,0.0,0,0.0,1,0.0
2230,HH12370032,HS3739000001,2,2,1,2,4,4,4,95.7,2,1,1,8,2,3,3,1,3,1,3,3,55,7562.76,0.0,0.0,0,0.0,1,0.0
2231,HH14370020,HS3739000002,2,2,1,1,6,1,4,92.4,3,1,1,14,2,3,3,1,4,1,3,3,67,6563.74,0.0,0.0,0,0.0,1,0.0
2232,HH12370033,HS3739000003,2,2,1,1,6,3,1,56.1,2,1,1,6,2,3,3,3,3,3,3,3,67,7816.6,0.0,0.0,0,0.0,1,0.0
2233,HH14370021,HS3739000004,2,2,1,1,5,1,4,59.4,2,1,1,10,2,3,3,1,5,1,2,3,67,6499.96,0.0,0.0,0,0.0,1,0.0
2234,HH11370062,HS3739000005,2,2,1,1,5,1,2,89.1,3,1,1,8,2,3,3,3,1,2,3,3,55,9681.68,0.0,0.0,0,0.0,1,0.0
2235,HH11370063,HS3739000006,2,2,1,1,6,1,2,72.6,3,1,2,10,2,1,3,4,3,3,3,3,45,8270.68,0.0,0.0,0,0.0,1,0.0
2236,HH11370064,HS3739000007,2,2,3,12,4,2,4,49.5,2,1,1,8,1,3,4,3,1,3,2,3,45,9281.955743,6533.395743,634.9267,1,1.0,1,3.0
2237,HH14370022,HS3739000008,2,2,1,1,6,1,3,69.3,3,1,1,8,2,3,3,3,3,3,1,3,67,9150.96,0.0,0.0,0,0.0,1,0.0
2238,HH12370035,HS3739000010,2,2,1,1,6,3,3,92.4,4,1,2,8,2,3,3,2,1,2,3,3,67,10914.62,0.0,0.0,0,0.0,1,0.0
