,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_mhh_age,num_hh_ann_incm,num_tot_energy_heat,num_tot_gas_heat
317,HS1122000015,HH13110167,1,1,3,2,4,1,6,82.5,3,1,2,10,1,3,4,4,1,35,42000000,9548.7032277,6776.0632277
318,HS1122000016,HH13110168,1,1,1,1,5,1,4,66.0,2,1,1,8,1,1,4,3,1,55,66000000,12053.274276,9083.6942757
319,HS1122000017,HH13110169,1,1,1,1,5,1,1,72.6,3,1,1,8,1,1,4,3,3,55,25000000,10837.3161,8993.4761
320,HS1122000019,HH13110155,1,1,3,3,4,2,6,102.3,3,1,2,6,3,1,4,4,3,45,66000000,13142.077309,636.23
321,HS1122000020,HH17110105,1,1,1,1,4,3,5,82.5,3,1,1,6,1,3,4,4,1,45,66000000,22075.145331,18559.974882
322,HS1122000021,HH17110106,1,1,1,1,4,1,3,112.19999999999999,3,1,1,8,1,3,4,2,4,67,12000000,8578.93,5830.37
323,HS1122000022,HH13110127,1,1,3,1,2,1,6,82.5,3,1,2,7,1,3,5,3,1,45,66000000,7666.850798,4941.510798
324,HS1122000023,HH17110107,1,1,2,2,4,3,1,82.5,3,1,1,6,1,3,4,4,1,45,66000000,7293.52024,5024.84024
325,HS1122000024,HH17110108,1,1,3,13,6,2,5,112.19999999999999,3,1,2,10,3,3,4,2,4,67,25000000,11992.553829,2917.0002309
326,HS1122000025,HH17110109,1,1,3,7,2,2,5,168.29999999999998,4,1,2,5,1,3,5,3,3,55,66000000,9579.645311,4813.525311
327,HS1123000001,HH13110001,1,1,3,3,2,1,4,108.89999999999999,3,1,1,11,3,1,4,4,1,55,66000000,11130.263598,1157.73
328,HS1123000002,HH13110002,1,1,3,4,2,1,3,42.9,2,1,1,8,1,3,4,3,1,45,54000000,8625.8214228,6703.7214228
329,HS1123000006,HH13110006,1,1,3,1,4,2,5,105.6,3,1,2,10,1,3,4,1,1,45,25000000,14258.716423,12384.619759
330,HS1123000007,HH13110007,1,1,3,13,4,1,4,115.5,4,1,2,14,3,3,4,4,1,45,66000000,10982.633598,1022.14
331,HS1123000009,HH13110009,1,1,3,6,2,2,5,141.9,4,1,2,18,3,3,5,3,5,55,25000000,7401.7949361,0.0
332,HS1123000012,HH13110011,1,1,3,18,3,3,5,102.3,3,1,2,12,1,3,5,4,3,55,18000000,12489.3,9658.18
333,HS1123000014,HH11110001,1,1,2,1,5,3,2,105.6,4,1,2,7,2,3,3,2,1,35,25000000,9808.79,0.0
334,HS1123000015,HH13110013,1,1,3,1,2,3,4,102.3,3,1,2,12,3,3,4,3,5,67,54000000,13123.320853,1666.3016367
335,HS1123000016,HH13110014,1,1,2,4,5,1,4,165.0,5,1,2,16,1,3,4,4,3,55,54000000,4767.3839072,3941.7839072
336,HS1123000017,HH17110110,1,1,3,4,3,2,3,161.7,4,1,2,2,3,3,4,4,5,55,54000000,19274.448483,4683.07
337,HS1123000018,HH17110111,1,1,3,17,2,2,5,108.89999999999999,3,1,2,4,3,1,4,4,1,45,96000000,8889.1353214,723.3221192
338,HS1123000019,HH17110112,1,1,3,11,3,1,4,85.8,2,1,1,4,3,3,4,2,1,35,78000000,10558.446261,2346.75
339,HS1124000001,HH13110201,1,1,3,11,2,2,5,112.19999999999999,3,1,2,10,1,3,4,4,3,55,66000000,14880.64,11911.06
340,HS1124000002,HH13110202,1,1,1,2,4,2,4,49.5,2,1,1,8,1,3,4,2,1,35,42000000,8841.06,5569.62
341,HS1124000003,HH12110017,1,1,2,2,3,2,2,56.099999999999994,2,1,1,7,5,3,3,2,5,55,25000000,13826.34,0.0
342,HS1124000006,HH12110020,1,1,2,2,4,4,2,39.599999999999994,2,0,1,6,5,1,3,5,1,55,42000000,15767.57,0.0
343,HS1124000009,HH13110205,1,1,3,28,4,2,5,108.89999999999999,3,1,2,10,3,3,4,3,3,67,54000000,12585.301948,1635.8412
344,HS1124000011,HH13110207,1,1,3,8,3,2,4,108.89999999999999,3,1,2,12,1,3,4,4,1,45,90000000,18173.033609,15544.873609
345,HS1124000015,HH12110023,1,1,2,4,5,1,1,39.599999999999994,2,0,1,6,5,3,3,2,5,45,18000000,19432.49,0.0
346,HS1124000018,HH14110043,1,1,1,2,5,1,5,82.5,2,1,1,6,1,3,4,2,3,45,54000000,15192.46,12203.1
347,HS1124000021,HH13110210,1,1,3,15,2,1,5,85.8,3,1,2,6,1,1,4,4,5,55,42000000,8796.37,6143.27
348,HS1124000022,HH13110211,1,1,2,2,5,1,4,82.5,3,1,1,16,1,3,5,3,5,67,25000000,17576.907815,13134.147815
349,HS1124000023,HH13110212,1,1,3,9,4,2,4,79.19999999999999,2,1,1,14,1,3,4,3,1,45,66000000,10508.28,7822.5
350,HS1124000024,HH13110203,1,1,3,2,2,2,6,42.9,2,1,1,2,3,3,4,4,5,55,78000000,21591.477402,1154.9296799
351,HS1124000025,HH17110113,1,1,2,4,4,3,5,49.5,3,1,1,11,1,3,4,4,1,45,78000000,5681.2357379,2783.0357379
352,HS1124000026,HH17110114,1,1,2,4,3,4,3,184.79999999999998,4,1,2,6,1,3,4,4,1,45,78000000,13199.083637,6833.3636371
353,HS1124000027,HH17110115,1,1,3,9,4,1,5,174.89999999999998,4,1,2,5,1,3,4,4,3,55,54000000,12650.041839,8090.3218386
354,HS1124000028,HH17110116,1,1,3,5,4,1,4,66.0,2,1,1,8,1,3,4,3,3,45,54000000,8747.4178839,5283.3378839
355,HS1124000029,HH17110117,1,1,3,11,4,1,4,108.89999999999999,3,1,2,9,3,3,4,4,3,55,42000000,11465.632754,1070.8391552
356,HS1124000030,HH17110118,1,1,3,4,6,2,4,108.89999999999999,3,1,1,12,3,3,5,3,1,67,25000000,8841.6335984,0.0
357,HS1124000031,HH17110119,1,1,3,2,2,1,4,108.89999999999999,3,1,2,4,3,3,4,4,1,67,96000000,11513.676037,1167.042439
358,HS1124000032,HH17110120,1,1,3,4,2,1,3,102.3,3,1,1,8,3,3,4,4,1,45,90000000,12776.342662,1021.275353
359,HS1124000033,HH17110121,1,1,3,3,2,1,4,102.3,3,1,1,6,1,3,4,4,4,55,25000000,7504.4111662,3350.6111662
360,HS1124000034,HH17110122,1,1,2,3,4,2,3,99.0,3,1,1,14,1,1,4,2,3,67,25000000,15997.679243,10525.499243
361,HS1124000035,HH17110123,1,1,3,3,6,2,3,102.3,3,1,1,12,3,3,5,4,1,35,66000000,10383.367309,0.0
362,HS1124000036,HH17110124,1,1,1,2,3,1,4,99.0,3,1,1,6,1,3,4,4,4,67,54000000,11127.449565,8387.4895654
363,HS1124000037,HH17110125,1,1,3,2,4,1,4,112.19999999999999,3,1,2,4,1,3,5,2,5,67,25000000,16921.865691,13924.765691
364,HS1124000038,HH17110126,1,1,2,3,4,1,4,99.0,3,1,1,5,2,3,3,3,1,35,96000000,6291.9162963,0.0
365,HS1124000039,HH17110127,1,1,3,4,4,2,5,82.5,3,1,2,3,1,3,5,2,4,67,12000000,14704.529075,11198.309075
366,HS1124000040,HH13110229,1,1,3,20,4,3,6,99.0,3,1,2,5,1,3,4,5,1,35,66000000,13131.88,10325.7
367,HS1125000002,HH16110001,1,1,3,16,4,2,6,181.5,4,1,2,10,3,2,4,6,3,45,96000000,18358.14274,2292.5280622
368,HS1125000004,HH13110017,1,1,3,9,3,3,4,105.6,3,1,2,11,1,3,4,5,1,55,54000000,14873.0,11431.28
369,HS1125000005,HH13110018,1,1,3,2,5,4,3,82.5,3,1,1,8,1,1,5,4,1,55,54000000,11456.307586,8512.5722881
370,HS1125000007,HH13110020,1,1,3,14,2,2,5,145.2,4,1,2,16,1,1,4,4,1,45,54000000,13595.61,10669.89
371,HS1125000011,HH13110022,1,1,1,2,5,1,3,85.8,3,1,1,8,1,3,4,3,3,67,42000000,17016.996052,14460.216052
372,HS1125000012,HH13110023,1,1,1,2,5,1,4,89.1,3,1,1,8,1,3,4,4,1,35,78000000,16684.749308,12119.869308
373,HS1125000013,HH13110024,1,1,3,7,4,3,5,89.1,3,1,2,15,1,3,5,4,1,45,66000000,13173.6,10367.42
374,HS1125000015,HH13110026,1,1,3,24,2,2,5,79.19999999999999,3,1,1,8,1,3,4,4,3,35,66000000,6002.56,3483.62
375,HS1125000016,HH13110027,1,1,1,2,5,1,3,66.0,2,1,1,8,1,3,4,2,1,67,54000000,15072.904742,11558.084742
376,HS1125000017,HH13110028,1,1,3,4,2,2,5,108.89999999999999,3,1,1,16,1,3,4,4,3,55,78000000,11742.02,9011.52
377,HS1125000018,HH13110029,1,1,2,4,5,3,5,99.0,3,1,2,4,1,3,4,3,1,55,66000000,26235.581798,22912.541798
378,HS1125000019,HH17110128,1,1,3,8,4,2,5,181.5,4,1,2,2,3,3,4,5,2,55,66000000,18513.842978,1635.5283
379,HS1125000020,HH17110129,1,1,3,2,2,2,3,112.19999999999999,3,1,1,2,1,3,5,5,5,55,54000000,14176.349739,9929.6697394
380,HS1125000021,HH17110130,1,1,3,1,2,3,3,105.6,3,1,1,10,1,3,4,3,1,35,42000000,7540.081473,4687.461473
381,HS1125000022,HH17110131,1,1,1,3,4,3,4,105.6,3,1,2,3,1,3,4,4,5,55,54000000,15068.155191,12286.055191
382,HS1125000023,HH17110132,1,1,3,14,2,1,3,112.19999999999999,4,1,2,3,1,3,4,5,1,45,78000000,6738.0705676,3296.3505676
